!n: Number of areas
n: 11
!I: Set if areas
I: [23001 23002 23003 23004 23005 23006 23007 23008 23009 23010 23011 ]
!p: Number of regions
p: 5
!K: Set of regions
K: [1 2 3 4 5 ]
!N: Node Neighbor Set
N: [
(23001) [23008 23009]
(23002) [23006 23009 23010]
(23003) [23005 23007]
(23004) [23010]
(23005) [23003 23007 23011]
(23006) [23002 23010]
(23007) [23003 23005 23008 23011]
(23008) [23001 23007 23009 23011]
(23009) [23001 23002 23008]
(23010) [23002 23004 23006]
(23011) [23005 23007 23008]
]
!d(i,j): distance list
d: [
(23001 23001) 0.0
(23001 23002) 0.9921169434540746
(23001 23003) 0.754953205662282
(23001 23004) 0.9064458637542606
(23001 23005) 0.3228186416130343
(23001 23006) 0.9111199962708624
(23001 23007) 0.7642621313918972
(23001 23008) 0.4168175185685478
(23001 23009) 0.6064773793605551
(23001 23010) 0.6678417051832419
(23001 23011) 0.6930055957394898
(23002 23001) 0.9921169434540746
(23002 23002) 0.0
(23002 23003) 1.451325767240279
(23002 23004) 0.5371758903995605
(23002 23005) 0.9219611687639221
(23002 23006) 0.5501337111230494
(23002 23007) 1.3437185293604526
(23002 23008) 1.2258804174387463
(23002 23009) 1.2211838038416432
(23002 23010) 0.9468199992765207
(23002 23011) 1.399573792107221
(23003 23001) 0.754953205662282
(23003 23002) 1.451325767240279
(23003 23003) 0.0
(23003 23004) 1.3894857211969127
(23003 23005) 0.8855794528705884
(23003 23006) 1.4083203226035284
(23003 23007) 0.3753785969876225
(23003 23008) 0.4542508468334803
(23003 23009) 0.5321414758431883
(23003 23010) 0.5916144593758897
(23003 23011) 0.28818479688813425
(23004 23001) 0.9064458637542606
(23004 23002) 0.5371758903995605
(23004 23003) 1.3894857211969127
(23004 23004) 0.0
(23004 23005) 0.768762835960655
(23004 23006) 0.5272586228344891
(23004 23007) 1.2962892739883154
(23004 23008) 1.13873667729459
(23004 23009) 1.1413438309162407
(23004 23010) 0.8818442836880908
(23004 23011) 1.3272754013482504
(23005 23001) 0.3228186416130343
(23005 23002) 0.9219611687639221
(23005 23003) 0.8855794528705884
(23005 23004) 0.768762835960655
(23005 23005) 0.0
(23005 23006) 0.9005350547925126
(23005 23007) 0.8339860407246726
(23005 23008) 0.5524356141083131
(23005 23009) 0.6137070661994957
(23005 23010) 0.694023236346911
(23005 23011) 0.69518351079105
(23006 23001) 0.9111199962708624
(23006 23002) 0.5501337111230494
(23006 23003) 1.4083203226035284
(23006 23004) 0.5272586228344891
(23006 23005) 0.9005350547925126
(23006 23006) 0.0
(23006 23007) 1.2983708063874408
(23006 23008) 1.14949480684631
(23006 23009) 1.1907369245577553
(23006 23010) 0.8573206403576832
(23006 23011) 1.3084254138347164
(23007 23001) 0.7642621313918972
(23007 23002) 1.3437185293604526
(23007 23003) 0.3753785969876225
(23007 23004) 1.2962892739883154
(23007 23005) 0.8339860407246726
(23007 23006) 1.2983708063874408
(23007 23007) 0.0
(23007 23008) 0.5459975095903017
(23007 23009) 0.4692743112207229
(23007 23010) 0.469678895198757
(23007 23011) 0.41186383006893995
(23008 23001) 0.4168175185685478
(23008 23002) 1.2258804174387463
(23008 23003) 0.4542508468334803
(23008 23004) 1.13873667729459
(23008 23005) 0.5524356141083131
(23008 23006) 1.14949480684631
(23008 23007) 0.5459975095903017
(23008 23008) 0.0
(23008 23009) 0.36569125238016026
(23008 23010) 0.5509736311154971
(23008 23011) 0.41107387462484196
(23009 23001) 0.6064773793605551
(23009 23002) 1.2211838038416432
(23009 23003) 0.5321414758431883
(23009 23004) 1.1413438309162407
(23009 23005) 0.6137070661994957
(23009 23006) 1.1907369245577553
(23009 23007) 0.4692743112207229
(23009 23008) 0.36569125238016026
(23009 23009) 0.0
(23009 23010) 0.5755555672105898
(23009 23011) 0.5314525742421936
(23010 23001) 0.6678417051832419
(23010 23002) 0.9468199992765207
(23010 23003) 0.5916144593758897
(23010 23004) 0.8818442836880908
(23010 23005) 0.694023236346911
(23010 23006) 0.8573206403576832
(23010 23007) 0.469678895198757
(23010 23008) 0.5509736311154971
(23010 23009) 0.5755555672105898
(23010 23010) 0.0
(23010 23011) 0.5525685954203994
(23011 23001) 0.6930055957394898
(23011 23002) 1.399573792107221
(23011 23003) 0.28818479688813425
(23011 23004) 1.3272754013482504
(23011 23005) 0.69518351079105
(23011 23006) 1.3084254138347164
(23011 23007) 0.41186383006893995
(23011 23008) 0.41107387462484196
(23011 23009) 0.5314525742421936
(23011 23010) 0.5525685954203994
(23011 23011) 0.0
]
